dataset,instance,n,m,deg0,deg1,deg1_nbr,articulation,bridge_endpoints,deg2,deg2_both_nbrs_forced,forced_union,forced_pct_n,best_cost,forced_pct_best
CommonUDG,1000_100_200.mtx,200,756,0,0,0,0,0,1,0,0,0.0,58,0.0
CommonUDG,1000_110_200.mtx,200,871,0,0,0,0,0,0,0,0,0.0,51,0.0
CommonUDG,1000_120_200.mtx,200,997,0,0,0,0,0,0,0,0,0.0,45,0.0
CommonUDG,1000_130_200.mtx,200,1127,0,0,0,0,0,0,0,0,0.0,40,0.0
CommonUDG,1000_140_200.mtx,200,1269,0,0,0,0,0,0,0,0,0.0,36,0.0
CommonUDG,1000_150_200.mtx,200,1400,0,0,0,0,0,0,0,0,0.0,34,0.0
CommonUDG,1000_160_200.mtx,200,1541,0,0,0,0,0,0,0,0,0.0,30,0.0
CommonUDG,1500_130_250.mtx,250,903,0,0,0,0,0,2,0,0,0.0,74,0.0
CommonUDG,1500_140_250.mtx,250,1011,0,0,0,0,0,1,0,0,0.0,66,0.0
CommonUDG,1500_150_250.mtx,250,1119,0,0,0,0,0,0,0,0,0.0,62,0.0
CommonUDG,1500_160_250.mtx,250,1246,0,0,0,0,0,0,0,0,0.0,55,0.0
CommonUDG,2000_200_300.mtx,300,1577,0,0,0,0,0,0,0,0,0.0,64,0.0
CommonUDG,2000_210_300.mtx,300,1710,0,0,0,0,0,0,0,0,0.0,59,0.0
CommonUDG,2000_220_300.mtx,300,1849,0,0,0,0,0,0,0,0,0.0,54,0.0
CommonUDG,2000_230_300.mtx,300,1990,0,0,0,0,0,0,0,0,0.0,51,0.0
CommonUDG,2500_200_350.mtx,350,1461,0,0,0,0,0,3,0,0,0.0,91,0.0
CommonUDG,2500_210_350.mtx,350,1555,0,0,0,0,0,3,0,0,0.0,86,0.0
CommonUDG,2500_220_350.mtx,350,1668,0,0,0,0,0,3,0,0,0.0,81,0.0
CommonUDG,2500_230_350.mtx,350,1787,0,0,0,0,0,2,0,0,0.0,75,0.0
CommonUDG,3000_210_400.mtx,400,1522,0,0,0,0,0,2,0,0,0.0,114,0.0
CommonUDG,3000_220_400.mtx,400,1621,0,0,0,0,0,1,0,0,0.0,108,0.0
CommonUDG,3000_230_400.mtx,400,1750,0,0,0,0,0,1,0,0,0.0,101,0.0
CommonUDG,3000_240_400.mtx,400,1880,0,0,0,0,0,1,0,0,0.0,94,0.0
CommonUDG,400_100_80.mtx,80,563,0,0,0,0,0,0,0,0,0.0,13,0.0
CommonUDG,400_110_80.mtx,80,647,0,0,0,0,0,0,0,0,0.0,11,0.0
CommonUDG,400_120_80.mtx,80,735,0,0,0,0,0,0,0,0,0.0,12,0.0
CommonUDG,400_60_80.mtx,80,262,0,0,0,0,0,1,0,0,0.0,27,0.0
CommonUDG,400_70_80.mtx,80,329,0,0,0,0,0,0,0,0,0.0,22,0.0
CommonUDG,400_80_80.mtx,80,400,0,0,0,0,0,0,0,0,0.0,18,0.0
CommonUDG,400_90_80.mtx,80,474,0,0,0,0,0,0,0,0,0.0,16,0.0
CommonUDG,600_100_100.mtx,100,435,0,0,0,0,0,1,0,0,0.0,25,0.0
CommonUDG,600_110_100.mtx,100,500,0,0,0,0,0,0,0,0,0.0,22,0.0
CommonUDG,600_120_100.mtx,100,575,0,0,0,0,0,0,0,0,0.0,20,0.0
CommonUDG,600_80_100.mtx,100,335,0,0,0,0,0,1,0,0,0.0,31,0.0
CommonUDG,600_90_100.mtx,100,368,0,0,0,0,0,1,0,0,0.0,29,0.0
CommonUDG,700_100_200.mtx,200,1305,0,0,0,0,0,0,0,0,0.0,36,0.0
CommonUDG,700_110_200.mtx,200,1501,0,0,0,0,0,0,0,0,0.0,31,0.0
CommonUDG,700_120_200.mtx,200,1730,0,0,0,0,0,0,0,0,0.0,26,0.0
CommonUDG,700_70_200.mtx,200,756,0,0,0,0,0,1,0,0,0.0,58,0.0
CommonUDG,700_80_200.mtx,200,921,0,0,0,0,0,0,0,0,0.0,48,0.0
CommonUDG,700_90_200.mtx,200,1113,0,0,0,0,0,0,0,0,0.0,41,0.0
LPNMR09,40_200.mtx,40,200,0,0,0,0,0,0,0,0,0.0,9,0.0
LPNMR09,45_250.mtx,45,250,0,0,0,0,0,0,0,0,0.0,9,0.0
LPNMR09,50_250_1.mtx,50,250,0,0,0,0,0,0,0,0,0.0,11,0.0
LPNMR09,50_250_2.mtx,50,240,0,0,0,0,0,0,0,0,0.0,13,0.0
LPNMR09,55_250.mtx,55,250,0,0,0,0,0,0,0,0,0.0,12,0.0
LPNMR09,60_400.mtx,60,400,0,0,0,0,0,0,0,0,0.0,10,0.0
LPNMR09,70_250.mtx,70,250,0,0,0,0,0,0,0,0,0.0,21,0.0
LPNMR09,80_500.mtx,80,500,0,0,0,0,0,0,0,0,0.0,14,0.0
LPNMR09,90_600.mtx,90,600,0,0,0,0,0,0,0,0,0.0,15,0.0
